Data		Horas Trabalhadas	Tipo Tarefa					Descricao da Tarefa Realizada
04/09/2015	2h					Projetar					Criar tutorial de instalacao e estrutura inicial do projeto
08/09/2015	1h					Projetar					Organizar os modulos em pacotes separados e adicionar as dependencias entre eles
08/09/2015	1h					Redigir casos de teste		Criar casos de teste de exemplo para todos os modulos
12/09/2015	1:30h				Codificar modulo			Codificar o modulo de leitura, criar a classe Main, ajustar os arquivos de texto
13/09/2015	1:00h				Codificar modulo			Codificar o modulo de tratamento, criar a entidade Disponibilidade, ajustar arquivos de texto
14/09/2015	1:30h				Codificar modulo			Codificar o modulo do calendario, criar a entidade CalendarioDisponibilidade, ajustar entidades exitentes, criar testes para o modulo de calendario
15/09/2015	1:00h				Codificar modulo			Codificar parte do modulo de persistencia
16/09/2015	2:00h				Revisar codigo do modulo	Revisar codigo dos modulos e das entidades, ajustar testes de acordo com estes
17/09/2015	0:15h				Revisar codigo do modulo	Ajustes no modulo de persistencia e nome do arquivo de output
18/09/2015	3:30h				Revisar codigo do modulo	Refatorar modulos, adicionar data de inicio e final na entidade Palestra, disponibilizar menu de opcoes ao usuario, completar arquivos input
19/09/2015	3:00				Revisar codigo do modulo	Adicionar interface grafica, ajustar modulos e testes
Total:		17:45h
